Key,English,Simplified Chinese,Traditional Chinese
menu_newgame,New Game,新游戏,新遊戲
menu_continue,Continue,继续,繼續
menu_tutorials,Tutorials,教程,教程
menu_credit,Credits,致谢,致謝
menu_loadgame,Load Game,加载游戏,加載遊戲
menu_multiplayer,Multiplayer,多人游戏,多人遊戲
menu_setting,Settings,设置,設置
menu_joindiscord,Discord Server,加入QQ讨论,加入QQ討論
menu_exit,Exit,退出,退出
menu_releasenote,Release Notes,发行说明,發行說明
button_next,Next,下一页,下一頁
button_prev,Prev,上一页,上一頁
saveload_newsavefile,New Save File,新建保存文件,新建保存檔
saveload_manualsaveslot,MANUAL SAVE SLOT,手动保存,手動保存
saveload_locationheader,Location:,地点,地點
saveload_wealthheader,Current Wealth:,当前财富：,當前財富：
saveload_currentfleetheader,Current Fleet:,当前舰队：,當前艦隊：
saveload_timeplayedheader,Time Played:,已游玩时间：,已遊玩時間：
button_save,SAVE,保存,保存
saveload_savegametitle,SAVE GAME,保存游戏,保存遊戲
tutorial_tutorialbasiccombat,Basic Combat,基本战斗,基本戰鬥
tutorial_tutorialshipcustom,Ship Customization,舰船定制,艦船定制
tutorial_basictutorial,Basic Tutorials,基础教程,基礎教程
tutorial_tutorialheader,TUTORIALS,教程,教程
button_Begin,BEGIN,开始,開始
menu_gamesetting,game settings,游戏设置,遊戲設置
option_displaysetting,Display Settings,画面设置,畫面設置
option_windowmode,Window Mode,窗口模式,窗口模式
option_resolution,Resolution,分辨率,解析度
option_on,ON,开,開
option_audiosetting,Audio Settings,音频设置,音頻設置
option_master,Master,主音量,主音量
option_sfx,SFX,音效,音效
option_music,Music,背景音乐,背景音樂
option_voiceover,Voice Over,配音,配音
option_controlmode,Control Mode,操作模式,操作模式
option_controltype,Control Type,操作类型,操作類型
option_volumetriccloudquality,Volumetric Cloud Quality,体积云质量,體積雲品質
option_bluroptions,Blur Options,模糊选项,模糊選項
option_openlogfilefolder,Open Log File Folder,打开日志文件夹,打開日誌檔夾
option_opensavedatafolder,Open Save Data Folder,打开保存数据文件夹,打開保存數據檔夾
option_displaydamage,display damage,显示伤害,顯示傷害
option_camerashake,Camera shake,镜头抖动,鏡頭抖動
option_battlecontrolguide,Battle Control Guide,战斗操作指南,戰鬥操作指南
option_language,Language,语言,語言
option_modsetting,game settings,模组设置,模組設置
option_content,Content,内容,內容
option_modsettingicon,"<sprite name=""Lock"">ModSettings","<sprite name=""Lock"">模组设置","<sprite name=""Lock"">模組設置"
option_renderdistance,Render Distance,渲染距离,渲染距離
option_expvolumetriccloudresolution,"[Experimental]
Volumetric Cloud Resolution","[实验]
体积云分辨率","[實驗]
體積雲解析度"
option_skyquality,Sky quality,天空质量,天空品質
option_shadow,Shadow,阴影,陰影
option_ssao,SSAO,屏幕空间环境光遮蔽,螢幕空間環境光遮蔽
option_depthoffield,Depth-of-field,景深,景深
option_general,General,通用,通用
option_ship,Ship,舰船,艦船
option_weapon,Weapon,武器,武器
option_officers,Officers,军官,軍官
option_camera,Camera,镜头,鏡頭
option_menunaviation,Menu navigation,菜单导航,菜單導航
option_itemactivation,Item Activation,项目启动,專案啟動
option_debug,Debug,调试,調試
option_keybinding,Key binding,按键设置,按鍵設置
option_primary,Primary,主按键,主按鍵
option_secondary,Secondary,次按键,次按鍵
option_openmap,Open Map,打开地图,打開地圖
option_button,Button,按钮,按鈕
option_openshipcargo,Open Ship Cargo,打开舰船货舱,打開艦船貨艙
option_openofficers,Open Officers Roster,打开军官页面,打開軍官頁面
option_opentreasury,Open Treasury Screen,打开宝库页面,打開寶庫頁面
option_openshiproster,Open Ships Roster,打开舰船名册,打開艦船名冊
option_openshipdetail,Open Ship's Detail,打开舰船详细信息,打開艦船詳細資訊
option_exitcancel,Exit/Cancel,退出/取消,退出/取消
option_toggleuivisibility,Toggle UI Visibility,切换UI可视,切換UI可視
option_timecontroltravel,Time Control : Travel,时间控制：航行,時間控制：航行
option_timeresumepause,Time Resume/Pause,时间恢复/暂停,時間恢復/暫停
option_togglegamespeed,Toggle Game Speed,切换游戏速度,切換遊戲速度
option_timecontrolbattle,Time Control : Battle,时间控制：战斗,時間控制：戰鬥
option_battleresumepause,Battle Resume/Pause,战斗恢复/暂停,戰鬥恢復/暫停
option_speedupbattlehold,Speed Up Battle(Hold),战斗加速（长按）,戰鬥加速（長按）
option_analog,Analog,模拟,模擬
option_thrustaxis,Thrust Axis,推力轴,推力軸
option_strafingaxis,Strafing Axis,扫射轴,掃射軸
option_turnaxis,Turn Axis,转向轴,轉向軸
option_digital,Digital,数字,數字
option_forwardthrust,Forward Thrust,向前推动,向前推動
option_backwardthrust,Backward Thrust,向后推动,向後推動
option_turnright,Turn Right,右转,右轉
option_turnleft,Turn Left,左转,左轉
option_strafingright,Strafing Right,向右扫射,向右掃射
option_strafingleft,Strafing Left,向左扫射,向左掃射
option_travel,Travel,航行,航行
option_cruisetowards,Cruise Towards,定向巡航,定向巡航
option_stopcruising,Stop Cruising,停止巡航,停止巡航
option_battlecontrol,Battle Control,作战控制,作戰控制
option_fire,Fire,开火,開火
option_directionalfirehold,Directional Fire [Hold],定向开火（长按）,定向開火（長按）
option_bowfire,Bow Fire,船首开火,船首開火
option_sternfire,Stern Fire,船尾开火,船尾開火
option_starboardfire,Starboard Fire,右舷开火,右舷開火
option_portfire,Port Fire,左舷开火,左舷開火
option_firingchainselectionhold,Firing Chain Selection [Hold],发射链选择（长按）,發射鏈選擇（長按）
option_firingchainnumber1,Firing chain number 1,1号发射链,1號發射鏈
option_firingchainnumber2,Firing chain number 2,2号发射链,2號發射鏈
option_firingchainnumber3,Firing chain number 3,3号发射链,3號發射鏈
option_firingchainnumber4,Firing chain number 4,4号发射链,4號發射鏈
option_firingchainnumber5,Firing chain number 5,5号发射链,5號發射鏈
option_officerskillcontrol,Officer Skill Control,军官技能操作,軍官技能操作
option_officerskillaction1,Officer Skill Action 1,军官技能动作1,軍官技能動作1
option_officerskillaction2,Officer Skill Action 2,军官技能动作2,軍官技能動作2
option_officerskillaction3,Officer Skill Action 3,军官技能动作3,軍官技能動作3
option_officerskillaction4,Officer Skill Action 4,军官技能动作4,軍官技能動作4
option_officerskillaction5,Officer Skill Action 5,军官技能动作5,軍官技能動作5
option_officerskillaction6,Officer Skill Action 6,军官技能动作6,軍官技能動作6
option_officerskillaction7,Officer Skill Action 7,军官技能动作7,軍官技能動作7
option_activateskill,Activate Skill,发动技能,發動技能
option_dollyaxis,Dolly Axis,滑动轴,滑動軸
option_pedestralaxis,Pedestral Axis,上下轴,上下軸
option_dollyforward,Dolly Forward,滑动向前,滑動向前
option_dollybackward,Dolly Backward,滑动向后,滑動向後
option_pedestralup,Pedestral Up,镜头向上,鏡頭向上
option_pedestraldown,Pedestral Down,镜头向下,鏡頭向下
option_changefocus,Change Focus,焦点变更,焦點變更
option_orbithold,Camera Orbit [HOLD],轨道（长按）,軌道（長按）
option_up,Up,向上,向上
option_down,Down,向下,向下
option_left,Left,向左,向左
option_Right,Right,向右,向右
option_generalplayership,General Player Ship,普通玩家舰船,普通玩家艦船
option_repair,Repair,维修,維修
option_refillammo,Refill Ammo,补充弹药,補充彈藥
option_refillsupply,Refill Supply,补充物资,補充物資
option_consumesupply,Consume Supply,物资消耗,物資消耗
option_addsupplycrate,Add Supply Crate,添加物资箱,添加物資箱
option_addfivecrew,Add Five Crew,增加5名船员,增加5名船員
option_removefivecrew,Remove Five Crew,减少5名船员,減少5名船員
option_removeshipmorale,Remove Ship Morale,降低舰船士气,降低艦船士氣
option_increaseshipspeed,Increase Ship Speed,提高船速,提高船速
option_decreaseshipspeed,Decrease Ship Speed,降低船速,降低船速
option_printshipcoordinate,Print Ship Coordinate,发布舰船坐标,發佈艦船座標
option_battle,Battle,战斗,戰鬥
option_destroyplayership,Destroy player ship,摧毁玩家舰船,摧毀玩家艦船
option_destroyenemyship,Destroy enemy ship,摧毁敌方舰船,摧毀敵方艦船
option_removeplayercrew,Remove Player Crew,减少玩家船员,減少玩家船員
option_removeenemycrew,Remove Enemy Crew,减少敌方船员,減少敵方船員
option_repairenemyship,Repair Enemy Ship,维修敌方舰船,維修敵方艦船
option_enemyunabletargeting,Enable Enemies Targeting,无法瞄准敌人,無法瞄準敵人
option_enemycantargeting,Disable Enemies Targeting,可以瞄准敌人,可以瞄準敵人
option_gameplay,Gameplay,游戏设置,遊戲設置
option_display,Display,显示设置,顯示設置
option_audio,Audio,音频设置,音頻設置
option_graphic,Graphic,图像设置,圖像設置
option_control,Control,操作设置,操作設置
_removed_,-,-,-
button_reset,Reset,重置,重置
button_apply,Apply,应用,應用
button_back,Back,返回,返回
menu_releasecandidate,RELEASE CANDIDATE,发行版本,發行版本
combat_popup_crew,Crew,船员,船員
combat_popup_surrendered,SURRENDERED,投降,投降
combat_command_selectcombatbehavior,Select combat behavior,选择战斗行为,選擇戰鬥行為
combat_command_boardboardingtactic,Boarding,登船（登船战略）,登船（登船戰略）
combat_command_attackfullassault,Assault,攻击,攻擊
combat_command_attackevasiveassault,Evasive Assault,躲避攻击,躲避攻擊
combat_command_evadefullevasion,Evasion,躲避,躲避
combat_command_sternrake,Stern rake,船尾扫射,船尾掃射
combat_command_outmanuever,Outmanuever,机动制胜,機動制勝
combat_command_retreat,Retreat,撤退,撤退
combat_command_regroup,Regroup,重新部署,重新部署
battleconclude_victory,VICTORY,胜利,勝利
battleconclude_obtained,OBTAINED,获得,獲得
partpopup_itemname,Item Name,物品名称,物品名稱
partpopup_itemtype,Item Type,物品类型,物品類型
partpopup_repairteams,Repair Teams,维修团队,維修團隊
partpopup_ammo,Ammo,弹药,彈藥
partpopup_crewcapacity,Crew Capacity,船员规模,船員規模
partpopup_crewregeneration,Crew Regeneration,船员恢复,船員恢復
partpopup_slot,Slot,舱位,艙位
partpopup_VIP,VIP,VIP,VIP
partpopup_captain,Captain,船长,船長
partpopup_gunner,Gunner,炮兵,炮兵
partpopup_navigator,Navigator,领航员,領航員
partpopup_engineer,Engineer,工程师,工程師
partpopup_quartermaster,Quartermaster,舵手,舵手
partpopup_npc,NPC,NPC,NPC
partpopup_thrust,Thrust,直行,直行
partpopup_turn,Turn,转弯,轉彎
partpopup_Maneuver,Maneuver,操舵,操舵
partpopup_supplystorage,Supply Storage,物资存储,物資存儲
partpopup_supplygeneration,Supply Generation,物资产生,物資產生
partpopup_cargospace,Cargo Space,货舱空间,貨艙空間
partpopup_shield,Shield,护盾,護盾
partpopup_recharged,Recharge,充电,充電
partpopup_regeneration,Regeneration,恢复,恢復
partpopup_resistance,Resistance,减伤,減傷
partpopup_potency,Potency,火力,火力
partpopup_fighteramount,Fighter Amount,战斗机数量,戰鬥機數量
partpopup_range,,射程,射程
partpopup_firingarc,Firing Arc,射击范围,射擊範圍
partpopup_reload,Reload,装填弹药,裝填彈藥
partpopup_energy,Energy,能量,能量
partpopup_trainingtime,Rearming time,训练时间,訓練時間
partpopup_trainingcost,Rearming cost,训练成本,訓練成本
partpopup_stacksize,Stack Size,可存储数量,可存儲數量
partpopup_fighterattributes,Fighter attributes,战斗机属性,戰鬥機屬性
partpopup_guided,- G U I D E D -,- 显示指引 -,- 顯示指引 -
partpopup_unguided,U N G U I D E D,不显示指引,不顯示指引
partpopup_projectileattributes,Projectile attributes,弹药属性,彈藥屬性
partpopup_explosive,Explosive,爆炸性,爆炸性
partpopup_damagesnearbypartsoncedestroyed,Damages nearby parts once destroyed.,一旦被破坏，会对周围部分造成损害。,一旦被破壞，會對周圍部分造成損害。
partpopup_placements,Placements,布局,佈局
battleconclude_result,result,结果,結果
battleconclude_playersfleet,Player's Fleet,玩家舰队,玩家艦隊
battleconclude_winner,Winner,胜利,勝利
battleconclude_enemysfleet,Enemy's fleet,敌方舰队,敵方艦隊
battleconclude_defeat,Defeat,失败,失敗
battleconclude_vs,vs,VS,VS
battleconclude_flagship,Flagship,旗舰,旗艦
battleconclude_damagedealt,Damage dealt,造成伤害,造成傷害
battleconclude_damagerecieved,Damage receieved,受到伤害,受到傷害
battleconclude_ammoused,Ammo used,消耗弹药,消耗彈藥
battleconclude_materialused,Materials used,消耗材料,消耗材料
battleconclude_escortI,Escort I,护卫舰 I,護衛艦 I
battleconclude_escortII,Escort II,护卫舰 II,護衛艦 II
shipattribute_fleetssupplies,Fleet's supplies,舰队物资,艦隊物資
shipattribute_fuel,Fuel,燃料,燃料
shipattribute_morale,Morale,士气,士氣
shipattribute_ammunition,Ammunition,弹药,彈藥
shipattribute_material,Materials,材料,材料
shipattribute_Loading,Loading....,正在加载……,正在加載……
shipattribute_shipoverview,SHIP OVERVIEW,舰船概况,艦船概況
shipattribute_health,Health,生命值,生命值
shipattribute_supply,Supply,物资,物資
shipattribute_maxspeed,Max speed,最大速度,最大速度
shipattribute_propulsion,Propulsion,推动力,推動力
shipattribute_firepower,Firepower,火力,火力
shipattribute_Morale,Morale,士气,士氣
shipattribute_cargoslot,Cargo slot,货舱舱位,貨艙艙位
shipattribute_Maxturnrate,Max turn rate,最大旋转速度,最大旋轉速度
shipattribute_dryweight,Dry Weight,干重,幹重
battleconclude_airshipacquired,AIRSHIPS ACQUIRED!,获得飞空艇！,獲得飛空艇！
battleconclude_airships,AIRSHIPS,飞空艇,飛空艇
battleconclude_actions,Actions,行动,行動
surrender_surrendercharge,Surrender charge,投降费用,投降費用
surrender_lootvalue,Loot Value,战利品价值,戰利品價值
surrender_paywitheagle,Pay with Eagle,用金钱支付,用金錢支付
surrender_totalvalue,Total Value,总价值,總價值
surrender_payandleave,Pay and leave,支付并离开,支付並離開
cargo_cargomanagement,Cargo management,货舱管理,貨艙管理
cargo_excessitemswillbediscarded,Excess items will be discarded,多余物品将被丢弃,多餘物品將被丟棄
surrender_spoilofwar,SPOIL OF WAR,战利品,戰利品價值
surrender_transferall,Transfer All,全部转移,全部轉移
surrender_leave,Leave,出发,出發
surrender_paywithyourloot,Pay with your loots and/or eagle,用战利品和/或者金钱支付,用戰利品和/或者金錢支付
port_shipyard,Shipyard,舰船定制,艦船定制
port_takeoff,TAKE OFF,起飞,起飛
cruise_fleetspeed,Fleet Speed,航行速度,航行速度
cruise_kmh,km/h,km/h,km/h
quest_quest,Quest,任务,任務
quest_currentquest,Current Quest :,当前任务：,當前任務：
quest_questdemands,Quest Demands :,任务需求：,任務需求：
quest_questrewards,Quest Rewards :,任务奖励：,任務獎勵：
quest_proceed,Proceed,任务完成,任務完成
supplystation_max,MAX,上限,上限
supplystation_supplystation,Supply station,补给站,補給站
supplystation_refillall,Refill all,全部加满,全部加滿
supplystation_payandreplenish,Pay and replenish,支付并补充,支付並補充
supplystation_spendthenight,Spend the night,过夜,過夜
supplystation_availablefrom4pm,(Available from 4 PM to 6 AM),（下午4点至清晨6点可用）,（下午4點至清晨6點可用）
merchant_youravailableeagle,Available Fund:,您的可用资金：,您的可用資金：
merchant_merchantcolon,Merchant :,商人：,商人：
merchant_bulktransaction,Shift + Left-Click for bulk transaction,Shift + 左键单击可批量操作,Shift + 左鍵單擊可批量操作
shipattribute_km,km,km,km
shipattribute_summary,SUMMARY,摘要,摘要
shipattribute_airframe,Airframe,机身,機身
shipattribute_officer,Officers,军官,軍官
shipattribute_cargo,Cargo,货舱,貨艙
shipattribute_performance,PERFORMANCE,性能,性能
shipattribute_cruise,Cruise,巡航,巡航
shipattribute_Battle,Battle,战斗,戰鬥
shipattribute_integrity,Integrity,完整度,完整度
travel_currentdestination,Current Destination,当前目的地,當前目的地
travel_customdestination,CUSTOM DESTINATION,自定义目的地,自定義目的地
travel_eta,ETA :,预计到达时间：,預計到達時間：
travel_legend,LEGEND,图例,圖例
travel_port,PORT,港口,港口
travel_fleet,FLEET,舰队,艦隊
encounter_harvestable,HARVESTABLE,可获取,可獲取
encounter_power,Power,动力,動力
encounter_speed,Speed,速度,速度
encounter_about,About,详情,詳情
encounter_specialloot,Special loot,特殊战利品,特殊戰利品
travel_portfacilities,Port Facilities,港口设施,港口設施
travel_destinations,DESTINATIONS,目的地,目的地
travel_selectyourdestination,Select your destination,请选择您的目的地,請選擇您的目的地
hangar_hangar,Hangar,舰船库,艦船庫
hangar_availablevessel,AVAILABLE VESSEL,可用舰船,可用艦船
hangar_changeflagship,CHANGE FLAGSHIP,旗舰变更,旗艦變更
hangar_blueprint,BLUEPRINT,设计图,設計圖
hangar_portrait,PORTRAIT,外观,外觀
hangar_information,"INFORMATION
",信息,資訊
hangar_officeronboard,OFFICER ONBOARD,飞艇军官,飛艇軍官
shipattribute_cargohold,CARGO HOLD,货舱装载,貨艙裝載
shipattribute_airframecolon,Airframe :,机身：,機身：
shipattribute_descriptioncolon,Description :,说明：,說明：
shipattribute_lengthbeamheight,Length/Beam/Height :,长度/宽度/高度：,長度/寬度/高度：
shipattribute_totalgridcolon,Total grid :,网格总数：,網格總數：
shipattribute_launchcolon,Launched :,发射：,發射：
